country,variety
Albania,['Kallmet']
Argentina,"['Malbec' 'Rosé' 'Bordeaux-style Red Blend' 'Cabernet Sauvignon'
 'Sauvignon Blanc' 'Torrontés' 'Malbec-Cabernet Sauvignon' 'White Blend'
 'Sparkling Blend' 'Cabernet Franc' 'Cabernet Blend' 'Pinot Noir'
 'Chenin Blanc' 'Syrah' 'Red Blend' 'Malbec-Bonarda' 'Malbec Blend'
 'Chenin Blanc-Chardonnay' 'Petit Verdot' 'Malbec-Petit Verdot'
 'Pinot Grigio' 'Chardonnay-Viognier' 'Chardonnay' 'Malbec-Merlot'
 'Bonarda' 'Moscato' 'Champagne Blend' 'Merlot' 'Malbec-Tempranillo'
 'Tempranillo' 'Cabernet Sauvignon-Merlot' 'Cabernet Sauvignon-Malbec'
 'Cabernet Sauvignon-Syrah' 'Tannat' 'Petite Verdot' 'Sémillon'
 'Malbec-Syrah' 'Merlot-Cabernet Franc' 'Viognier' 'Pinot Gris' 'Barbera'
 'Sangiovese' 'Pedro Ximénez' 'Chardonnay-Sauvignon' 'Nebbiolo' 'Shiraz'
 'Syrah-Viognier' 'Bordeaux-style White Blend' 'Merlot-Malbec'
 'Merlot-Cabernet Sauvignon' 'Riesling' 'Meritage'
 'Semillon-Sauvignon Blanc' 'Cabernet Sauvignon-Cabernet Franc'
 'Chardonnay-Semillon' 'Cabernet Sauvignon-Shiraz' 'Cabernet-Syrah'
 'Muscat' 'Syrah-Bonarda' 'Syrah-Malbec' 'Malbec-Cabernet Franc'
 'Malbec-Tannat' 'Fumé Blanc' 'Shiraz-Malbec' 'Sauvignon Blanc-Semillon']"
Australia,"['Pinot Noir' 'Shiraz' 'Chardonnay' 'Marsanne' 'Rosé' 'Riesling'
 'Sparkling Blend' 'Red Blend' 'Cabernet Sauvignon-Shiraz' 'Grenache'
 'Cabernet Sauvignon' 'Sémillon' 'Sauvignon Blanc-Semillon' 'Pinot Grigio'
 'Rhône-style White Blend' 'Shiraz-Grenache' 'Viognier' 'Pinot Gris'
 'Sauvignon Blanc' 'Viognier-Marsanne' 'Chardonnay-Semillon'
 'Cabernet Merlot' 'Verdelho' 'Shiraz-Cabernet Sauvignon' 'Cabernet Blend'
 'Chenin Blanc' 'Merlot' 'Petit Verdot' 'G-S-M' 'Grenache-Shiraz' 'Syrah'
 'Shiraz-Viognier' 'Champagne Blend' 'Rhône-style Red Blend'
 'Cabernet Sauvignon-Merlot' 'Gewürztraminer' 'White Blend'
 'Cabernet Sauvignon-Malbec' 'Moscato' 'Port' 'Tokay' 'Muscat' 'Muscadel'
 'Bordeaux-style Red Blend' 'Savagnin' 'Sauvignon Blanc-Chardonnay'
 'Muscadelle' 'Cabernet Sauvignon-Sangiovese' 'Sangiovese' 'Roussanne'
 'Malbec' 'Muscat Blanc' 'Tempranillo' 'Syrah-Cabernet'
 'Semillon-Sauvignon Blanc' 'Cabernet Franc' 'Merlot-Cabernet Franc'
 'Shiraz-Mourvèdre' 'Petite Sirah' 'Mourvèdre' 'Sauvignon' 'Durif'
 'Semillon-Chardonnay' 'Shiraz-Malbec' 'Zinfandel' 'Merlot-Cabernet'
 'Vermentino' 'Saperavi' 'Muscat of Alexandria' 'Grenache-Syrah'
 'Muscat Blanc à Petit Grain' 'Muscat Hamburg' 'Colombard'
 'Cabernet Sauvignon-Cabernet Franc' 'Bordeaux-style White Blend' 'Tannat'
 'Carnelian' 'Nebbiolo']"
Austria,"['St. Laurent' 'Blauburgunder' 'Blaufränkisch' 'Pinot Noir'
 'Grüner Veltliner' 'Red Blend' 'Zweigelt' 'Riesling' 'Weissburgunder'
 'Gelber Muskateller' 'Roter Veltliner' 'White Blend' 'Chardonnay' 'Rosé'
 'Orangetraube' 'Austrian Red Blend' 'Furmint' 'Pinot Blanc' 'Neuburger'
 'Sauvignon Blanc' 'Traminer' 'Muskat Ottonel' 'Austrian white blend'
 'Welschriesling' 'Scheurebe' 'Bordeaux-style Red Blend' 'Sparkling Blend'
 'Pinot Gris' 'Viognier' 'Rotgipfler' 'Grauburgunder' 'Cabernet Blend'
 'Cabernet Sauvignon' 'Champagne Blend' 'Moscato' 'Merlot' 'Zierfandler'
 'Sämling' 'Pinot Blanc-Chardonnay' 'Zierfandler-Rotgipfler' 'Morillon'
 'Syrah' 'Cabernet Sauvignon-Merlot' 'Chardonnay-Pinot Blanc'
 'Blauer Portugieser' 'Muscat' 'Gewürztraminer'
 'Sauvignon Blanc-Chardonnay' 'Roter Traminer' 'Merlot-Cabernet Sauvignon']"
Bosnia and Herzegovina,['Blatina' 'Vranec']
Brazil,"['Merlot' 'Cabernet Sauvignon-Merlot' 'Red Blend' 'Cabernet Sauvignon'
 'Sparkling Blend' 'Bordeaux-style Red Blend' 'Moscato' 'Tannat']"
Bulgaria,"['Mavrud' 'Chardonnay' 'Syrah' 'Pinot Noir' 'Red Blend' 'Ruen' 'Merlot'
 'Cabernet Sauvignon' 'Traminer' 'Muskat Ottonel' 'Rosé' 'Sauvignon Blanc'
 'Muscat' 'Meritage' 'Riesling' 'White Blend']"
Canada,"['Bordeaux-style Red Blend' 'Riesling' 'Pinot Gris' 'Syrah' 'Merlot'
 'Vidal' 'Pinot Noir' 'Chardonnay' 'Rosé' 'Cabernet Sauvignon-Syrah'
 'White Blend' 'Sauvignon Blanc' 'Cabernet Franc' 'Meritage'
 'Gewürztraminer' 'Chenin Blanc' 'Gewürztraminer-Riesling' 'Chasselas'
 'Carmenère' 'Semillon-Sauvignon Blanc' 'Rhône-style White Blend'
 'Viognier' 'Pinot Blanc' 'Vidal Blanc' 'Cabernet Sauvignon'
 'Cabernet Merlot' 'Apple' 'Shiraz' 'Red Blend']"
Chile,"['Carmenère' 'Red Blend' 'Cabernet Sauvignon-Cabernet Franc'
 'Bordeaux-style Red Blend' 'Cabernet Sauvignon' 'Pinot Noir' 'Syrah'
 'Sauvignon Blanc' 'Merlot' 'Cabernet Sauvignon-Carmenère'
 'Cabernet Franc' 'Chardonnay' 'Riesling' 'Petit Verdot'
 'Carmenère-Cabernet Sauvignon' 'Tempranillo' 'Rosé' 'Malbec' 'Viognier'
 'Cabernet Sauvignon-Syrah' 'Viognier-Chardonnay'
 'Cabernet Sauvignon-Malbec' 'Pinot Noir-Syrah' 'White Blend' 'Muscat'
 'Carignan' 'Chardonnay-Viognier' 'Gewürztraminer'
 'Cabernet Franc-Carmenère' 'Syrah-Cabernet Sauvignon' 'Sauvignon Gris'
 'Cabernet Blend' 'Carmenère-Syrah' 'Torontel' 'Muscatel'
 'Cabernet Sauvignon-Merlot' 'Shiraz' 'Sauvignon Blanc-Semillon'
 'Mourvèdre' 'Merlot-Cabernet' 'Champagne Blend' ""Muscat d'Alexandrie""
 'Sparkling Blend' 'Syrah-Cabernet' 'Syrah-Grenache-Viognier'
 'Cabernet Sauvignon-Shiraz' 'Fumé Blanc' 'Gewürztraminer-Riesling'
 'Petite Sirah' 'Merlot-Cabernet Sauvignon' 'País' 'Pinot Grigio'
 'Malbec-Syrah' 'Cabernet-Syrah' 'Shiraz-Cabernet Sauvignon' 'Sémillon'
 'Sauvignon' 'Pedro Ximénez' 'Moscatel' 'Merlot-Cabernet Franc']"
China,['Chardonnay' 'White Blend']
