variety,count
Chardonnay,13169
Pinot Noir,12761
Cabernet Sauvignon,11138
Red Blend,8782
Sauvignon Blanc,6030
Syrah,5367
Riesling,5022
Merlot,4865
Bordeaux-style Red Blend,3945
Zinfandel,3788
Malbec,2964
Sangiovese,2682
White Blend,2512
Rosé,2452
Tempranillo,2383
Shiraz,1802
Sparkling Blend,1772
Portuguese Red,1755
Rhône-style Red Blend,1424
Pinot Grigio,1270
Pinot Gris,1253
Cabernet Franc,1253
Viognier,1236
Nebbiolo,1140
"Corvina, Rondinella, Molinara",1137
Barbera,957
Petite Sirah,894
Gewürztraminer,871
Grüner Veltliner,821
Sangiovese Grosso,743
Carmenère,729
Portuguese White,715
Champagne Blend,709
Tempranillo Blend,690
Port,673
Chenin Blanc,629
Grenache,581
Bordeaux-style White Blend,537
Albariño,529
Prosecco,515
Glera,479
Pinot Blanc,413
Rhône-style White Blend,395
Garnacha,394
Moscato,387
Nero d'Avola,369
Torrontés,363
Dolcetto,332
Verdejo,315
Meritage,308
Garganega,307
Gamay,299
Montepulciano,261
Aglianico,250
Sauvignon,239
Cabernet Blend,238
Cabernet Sauvignon-Merlot,230
Primitivo,223
Sémillon,211
Zweigelt,200
Tinta de Toro,196
Pinotage,195
Petit Verdot,194
Blaufränkisch,189
Vermentino,187
Roussanne,180
Mourvèdre,172
Bonarda,152
Cabernet Sauvignon-Syrah,150
Touriga Nacional,149
G-S-M,148
Monastrell,147
Muscat,144
Mencía,137
Friulano,134
Fiano,130
Tannat,126
Agiorgitiko,117
Pinot Bianco,115
Pinot Nero,113
Grillo,111
Viura,110
Fumé Blanc,106
Godello,100
Marsanne,96
Sherry,96
Shiraz-Cabernet Sauvignon,93
Greco,86
St. Laurent,86
Shiraz-Viognier,85
Malbec-Merlot,83
Tempranillo-Cabernet Sauvignon,83
Cabernet Sauvignon-Shiraz,80
Prugnolo Gentile,79
Melon,79
Semillon-Sauvignon Blanc,78
Cortese,76
Sagrantino,74
Grenache Blanc,73
Falanghina,72
Negroamaro,72
Nerello Mascalese,69
Petite Verdot,68
Carignan,68
Chardonnay-Viognier,68
Assyrtico,67
Tinto del Pais,66
Merlot-Cabernet Sauvignon,66
Vernaccia,65
Grenache-Syrah,64
Turbiana,63
Alvarinho,63
Arneis,63
Sauvignon Blanc-Semillon,63
Verdelho,62
Tempranillo-Garnacha,60
Xinomavro,59
Muscat Canelli,55
Ribolla Gialla,55
Austrian Red Blend,54
Arinto,54
Cabernet Sauvignon-Carmenère,54
Lambrusco,54
Syrah-Cabernet,54
Carignano,54
Malbec-Cabernet Sauvignon,50
Trebbiano,48
Pedro Ximénez,48
Silvaner,48
Cabernet Merlot,48
Tinto Fino,47
Alsace white blend,47
Verdicchio,47
Weissburgunder,46
Tokaji,46
Cabernet Sauvignon-Malbec,46
Insolia,45
Syrah-Grenache,45
Vidal Blanc,45
